student_id,age,gender,place_of_origin,high_school_avg,admission_test_score,first_semester_avg,socioeconomic_level,scholarship,loan,financial_aid,dropout
S1352,21,Male,Montería,3.71,70.0,4.85,4,Yes,Yes,Yes,No
S1353,19,Other,Santa Marta,4.48,69.0,3.23,3,No,Yes,No,No
S1354,19,Female,Other,3.66,70.0,2.72,3,No,No,No,Yes
S1355,17,Male,Barranquilla,3.95,120.0,2.88,2,Yes,Yes,No,Yes
S1356,19,Female,Barranquilla,3.12,110.0,2.53,4,No,No,No,Yes
S1357,18,Female,Barranquilla,3.94,86.0,2.77,4,,Yes,No,Yes
S1358,20,Male,Santa Marta,3.6,49.0,3.1,1,No,Yes,Yes,No
S1359,17,Female,Other,4.24,58.0,2.28,4,Yes,Yes,No,Yes
S1360,20,Female,Barranquilla,4.35,67.0,3.41,3,,Yes,No,No
S1361,22,Male,Other,5.0,48.0,4.12,4,Yes,No,No,Yes
S1362,19,Female,Barranquilla,4.02,66.0,2.67,2,Yes,Yes,Yes,Yes
S1363,20,Male,Other,3.88,-5.0,4.62,2,No,No,No,Yes
S1364,20,Female,Soledad,3.81,68.0,3.81,5,Yes,Yes,No,Yes
S1365,18,Other,Barranquilla,3.51,71.0,4.22,2,No,Yes,Yes,Yes
S1366,19,Female,Soledad,3.89,53.0,2.87,4,No,No,No,Yes
S1367,19,Male,Barranquilla,3.54,,4.08,3,No,Yes,No,No
S1368,19,Female,Barranquilla,3.79,63.0,2.53,3,No,No,No,Yes
S1369,17,Female,Barranquilla,4.42,64.0,,2,Yes,Yes,No,No
S1370,19,Male,Montería,3.15,83.0,3.54,3,No,No,No,Yes
S1371,20,Female,Cartagena,4.33,75.0,3.84,2,No,No,No,Yes
S1372,22,Male,Barranquilla,4.42,55.0,2.46,1,Yes,No,No,Yes
S1373,21,Female,Cartagena,3.64,71.0,2.68,2,Yes,No,Yes,No
S1374,23,Male,Santa Marta,2.53,74.0,3.88,1,No,No,No,Yes
S1375,17,Male,Barranquilla,3.37,82.0,2.64,6,No,Yes,Yes,Yes
S1376,21,Male,Soledad,4.41,87.0,3.77,6,No,Yes,Yes,No
S1377,19,Female,Barranquilla,3.69,,2.31,2,No,No,No,Yes
S1378,23,Male,Barranquilla,3.15,,4.08,4,No,Yes,No,No
S1379,17,Female,Santa Marta,3.42,53.0,2.41,2,Yes,No,No,Yes
S1380,17,Male,Barranquilla,4.16,65.0,0.1,3,No,No,No,Yes
S1381,18,Male,Cartagena,4.0,74.0,3.9,4,Yes,Yes,No,No
S1382,16,Female,Santa Marta,3.57,80.0,,5,Yes,No,Yes,Yes
S1383,18,Female,Barranquilla,3.5,67.0,3.87,2,No,No,No,No
S1384,17,Male,Cartagena,3.48,64.0,3.61,4,No,No,No,Yes
S1385,19,Female,Barranquilla,3.19,70.0,2.97,2,No,No,No,Yes
S1386,20,Female,Other,4.59,58.0,2.59,6,No,Yes,No,Yes
S1387,23,Female,Soledad,3.52,93.0,1.83,1,No,Yes,No,Yes
S1388,21,Male,Montería,4.37,49.0,3.68,3,Yes,No,No,No
S1389,18,Male,Cartagena,4.54,70.0,2.15,3,Yes,Yes,Yes,No
S1390,17,Female,Barranquilla,4.25,92.0,,3,Yes,No,No,No
S1391,20,Male,Santa Marta,3.46,68.0,3.19,1,No,No,No,No
S1392,16,Female,Other,3.92,66.0,3.94,5,No,No,No,Yes
S1393,23,Female,Cartagena,3.69,64.0,3.16,1,No,Yes,Yes,Yes
S1394,21,Female,Montería,3.2,66.0,3.14,3,No,No,No,Yes
S1395,18,Female,Other,3.88,84.0,3.99,2,No,No,Yes,No
S1396,16,Other,Barranquilla,3.05,41.0,3.67,2,Yes,No,No,Yes
S1397,22,Male,Barranquilla,4.35,86.0,3.65,3,No,No,No,No
S1398,19,Female,Cartagena,3.44,51.0,3.78,2,No,No,Yes,Yes
S1399,21,Male,,3.81,65.0,2.17,1,No,No,No,Yes
S1400,16,Male,Montería,3.86,63.0,4.01,1,No,No,Yes,Yes
S1401,18,Female,Other,3.56,75.0,3.89,2,Yes,No,No,Yes
S1402,19,Female,Soledad,4.02,49.0,2.59,4,No,Yes,No,Yes
S1403,19,Other,Barranquilla,3.44,74.0,3.2,5,No,No,Yes,Yes
S1404,18,Female,Valledupar,4.18,92.0,3.37,1,Yes,No,Yes,Yes
S1405,20,Male,Barranquilla,2.96,52.0,3.29,2,No,No,No,No
S1406,17,Male,Montería,3.77,70.0,3.67,1,No,No,Yes,No
S1407,19,Female,Soledad,4.77,60.0,4.55,1,No,No,Yes,Yes
S1408,19,Male,Santa Marta,3.15,73.0,4.27,3,Yes,No,No,Yes
S1409,14,Male,Barranquilla,3.33,68.0,2.35,3,No,No,No,Yes
S1410,20,Male,Santa Marta,3.98,60.0,3.9,1,,No,No,No
S1411,17,Male,Soledad,3.8,74.0,4.46,2,No,No,Yes,No
S1412,16,Male,Cartagena,3.89,90.0,3.71,1,No,No,Yes,Yes
S1413,22,Male,Barranquilla,3.97,66.0,4.27,4,No,Yes,Yes,Yes
S1414,20,Male,Valledupar,4.05,77.0,5.0,6,No,No,Yes,No
S1415,18,Male,Montería,4.31,52.0,4.22,1,No,No,No,Yes
S1416,22,Other,Barranquilla,3.93,57.0,3.6,2,No,No,No,Yes
S1417,19,Male,Barranquilla,3.57,74.0,4.24,5,Yes,No,Yes,No
S1418,21,Male,Barranquilla,4.07,86.0,3.52,5,No,No,No,Yes
S1419,19,Female,Santa Marta,4.74,72.0,3.42,2,Yes,No,No,Yes
S1420,23,Male,Cartagena,3.63,64.0,,1,No,Yes,No,No
S1421,23,Female,Cartagena,3.16,68.0,4.65,1,No,No,No,No
S1422,19,Female,Barranquilla,4.31,53.0,2.75,3,No,No,No,Yes
S1423,21,Male,Soledad,3.63,75.0,4.63,2,No,Yes,Yes,No
S1424,20,Male,Cartagena,2.51,79.0,3.8,1,No,Yes,Yes,Yes
S1425,22,Female,Soledad,4.17,63.0,2.28,3,Yes,No,No,No
S1426,17,Female,Other,3.41,62.0,3.69,1,No,No,Yes,Yes
S1427,20,Male,Barranquilla,3.65,,1.72,4,No,Yes,No,No
S1428,21,Female,Santa Marta,3.88,63.0,3.9,2,Yes,No,No,No
S1429,16,Male,Soledad,3.8,67.0,4.11,1,Yes,No,No,Yes
S1430,17,Other,Soledad,4.09,93.0,2.93,3,No,No,No,No
S1431,16,Male,Santa Marta,3.46,65.0,3.5,2,No,No,No,No
S1432,18,Female,Santa Marta,3.98,64.0,,6,No,No,No,No
S1433,20,Female,Other,3.56,60.0,3.0,3,No,No,No,Yes
S1434,22,Female,Barranquilla,4.11,77.0,2.55,2,Yes,No,Yes,No
S1435,19,Female,Barranquilla,4.04,66.0,4.59,4,,No,No,No
S1436,22,Male,Valledupar,3.19,60.0,4.97,2,No,Yes,Yes,Yes
S1437,16,Male,Cartagena,4.3,84.0,3.4,5,No,No,No,No
S1438,16,Male,Barranquilla,3.41,85.0,4.21,2,No,Yes,No,Yes
S1439,19,Male,Barranquilla,0.4,61.0,,3,No,Yes,No,Yes
S1440,33,Female,Barranquilla,3.9,46.0,2.81,1,No,Yes,No,Yes
S1441,19,Male,Other,4.71,80.0,3.01,2,No,Yes,No,Yes
S1442,16,Male,Barranquilla,3.58,60.0,4.38,4,Yes,No,No,No
S1443,19,Female,Barranquilla,3.51,77.0,4.75,4,No,Yes,Yes,Yes
S1444,16,Female,Barranquilla,3.69,44.0,3.85,2,No,No,No,No
S1445,20,Female,Soledad,3.53,79.0,2.7,2,No,No,No,Yes
S1446,20,Other,Barranquilla,4.14,53.0,4.99,4,Yes,No,No,Yes
S1447,17,Male,Cartagena,2.81,77.0,2.98,5,No,Yes,No,Yes
S1448,18,Male,Barranquilla,3.12,68.0,3.13,1,Yes,No,Yes,Yes
S1449,17,Female,Montería,3.11,57.0,3.67,2,No,No,No,No
S1450,19,Female,Barranquilla,4.22,63.0,4.64,2,No,No,No,No
S1451,21,Male,Cartagena,4.64,76.0,4.08,5,No,No,No,No
S1452,17,Female,Other,3.64,69.0,3.73,1,Yes,No,Yes,Yes
S1453,20,Male,Santa Marta,3.61,75.0,3.77,1,No,No,No,Yes
S1454,18,Male,Cartagena,3.74,,3.43,4,No,Yes,No,Yes
S1455,17,Female,Barranquilla,4.34,49.0,3.85,1,No,No,Yes,Yes
S1456,19,Female,Barranquilla,3.19,87.0,1.38,3,No,Yes,No,Yes
S1457,17,Female,,3.83,69.0,3.16,2,No,No,No,No
S1458,18,Male,Other,4.24,57.0,3.59,2,No,Yes,No,Yes
S1459,17,Female,Santa Marta,3.98,,,2,,Yes,No,Yes
S1460,23,Male,Cartagena,3.8,66.0,3.71,3,Yes,No,No,Yes
S1461,19,Male,Valledupar,4.25,79.0,3.24,1,No,No,No,Yes
S1462,18,Female,Soledad,2.21,66.0,4.8,3,No,No,No,No
S1463,19,Female,Barranquilla,4.07,,4.66,4,No,No,Yes,Yes
S1464,19,Female,Cartagena,3.34,51.0,3.03,4,No,No,Yes,No
S1465,19,Female,Other,2.69,68.0,3.28,1,Yes,Yes,No,Yes
S1466,20,Female,Barranquilla,3.98,53.0,3.34,1,No,No,No,Yes
S1467,21,Female,Santa Marta,4.46,72.0,3.04,2,No,Yes,Yes,No
S1468,18,Male,Barranquilla,3.62,79.0,3.56,2,No,No,No,Yes
S1469,18,Male,Cartagena,4.22,63.0,2.79,2,Yes,No,No,Yes
S1470,18,Male,Barranquilla,4.59,37.0,2.5,3,No,Yes,Yes,Yes
S1471,16,Male,Soledad,4.42,70.0,3.9,1,No,No,No,Yes
S1472,16,Female,Valledupar,4.6,73.0,3.9,1,Yes,Yes,Yes,No
S1473,22,Female,Barranquilla,4.11,73.0,2.76,2,No,No,No,Yes
S1474,22,Male,Santa Marta,3.74,83.0,4.12,4,Yes,No,No,No
S1475,19,Male,Valledupar,2.82,55.0,,1,No,No,No,Yes
S1476,20,Female,Other,3.56,76.0,3.6,3,No,Yes,Yes,Yes
S1477,20,Male,Barranquilla,3.24,82.0,,2,No,Yes,No,No
S1478,25,Female,Soledad,4.89,47.0,3.37,5,No,Yes,No,Yes
S1479,21,Female,Barranquilla,3.6,72.0,3.76,5,No,Yes,No,No
S1480,19,Female,Other,3.77,62.0,2.99,2,Yes,No,Yes,Yes
S1481,17,Female,Other,4.0,67.0,3.24,2,Yes,No,No,Yes
S1482,16,Female,Cartagena,3.72,72.0,3.24,2,No,No,No,Yes
S1483,19,Male,Montería,4.63,62.0,2.8,2,No,No,No,No
S1484,17,Female,Cartagena,3.36,60.0,3.26,3,No,No,No,No
S1485,16,Female,Santa Marta,3.81,68.0,2.16,4,No,No,No,Yes
S1486,18,Male,Barranquilla,3.29,55.0,3.01,3,No,No,No,Yes
S1487,17,Female,Valledupar,2.97,55.0,,4,No,No,Yes,Yes
S1488,22,Female,Barranquilla,3.36,76.0,3.2,2,No,Yes,No,No
S1489,21,Female,Montería,3.68,54.0,3.21,1,No,Yes,Yes,Yes
S1490,19,Female,Valledupar,3.46,76.0,3.35,4,No,No,No,No
S1491,22,Female,Santa Marta,3.32,74.0,3.78,2,Yes,Yes,Yes,Yes
S1492,19,Female,Barranquilla,2.93,47.0,4.1,3,Yes,Yes,No,Yes
S1493,17,Female,Barranquilla,3.65,60.0,2.88,2,Yes,No,Yes,Yes
S1494,22,Female,Barranquilla,2.87,82.0,2.44,1,Yes,No,No,Yes
S1495,20,Female,Soledad,4.12,56.0,2.57,6,No,No,No,Yes
S1496,17,Female,Barranquilla,3.75,62.0,3.01,1,No,Yes,Yes,No
S1497,19,Female,Other,2.9,74.0,3.12,6,No,No,Yes,Yes
S1498,17,Male,Cartagena,3.53,77.0,2.78,6,No,No,Yes,No
S1499,16,Female,,3.29,65.0,2.36,4,No,No,No,No
